id,baby_id,timestamp,has_urine,urine_volume,has_stool,stool_consistency,stool_color,diaper_type,notes,created_at,updated_at
0727d392-0013-4476-a486-566f91f58aee,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-09 16:01:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-09 16:01:00,2023-12-09 16:01:00
902a001b-f4e2-4c24-9a7c-176c136d1f17,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-09 17:07:00,false,NONE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-09 17:07:00,2023-12-09 17:07:00
f1abebca-a29e-4bf8-a6ad-896e6c27bcc8,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-09 19:56:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-09 19:56:00,2023-12-09 19:56:00
c5a78b3d-0f55-42b1-b540-0cc1b217f176,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-09 21:44:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-09 21:44:00,2023-12-09 21:44:00
a1791a1b-dda8-4a92-a319-8c0aef52d73e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-10 06:45:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-10 06:45:00,2023-12-10 06:45:00
94dc6dd0-dca8-4a1d-8c34-b3560ea8eb3e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-10 09:34:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-10 09:34:00,2023-12-10 09:34:00
67ee375b-b5b3-4f33-a6e8-b26f17b90983,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-10 12:55:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-10 12:55:00,2023-12-10 12:55:00
e582dafd-bcd6-4108-96cb-0577677de435,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-10 16:20:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-10 16:20:00,2023-12-10 16:20:00
6656181d-334a-4afd-9f30-fd65fdbfd6b7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-10 18:44:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-10 18:44:00,2023-12-10 18:44:00
fb251530-1181-45ee-af3f-8f6317eab00a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 06:44:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-11 06:44:00,2023-12-11 06:44:00
9c487dcc-ca9f-49c5-9d6e-25aab05653b4,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 09:57:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-11 09:57:00,2023-12-11 09:57:00
121a2454-adf1-4c30-b726-d7fff3b9be3a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 12:00:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-11 12:00:00,2023-12-11 12:00:00
d49862e0-2b9a-48ec-bbd9-3796784e447c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 14:13:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-11 14:13:00,2023-12-11 14:13:00
44771605-195b-439c-8689-d729e0c6e16c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 17:34:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-11 17:34:00,2023-12-11 17:34:00
02671f19-62e7-4989-aceb-5809f90f9764,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 19:15:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-11 19:15:00,2023-12-11 19:15:00
28993dbd-1c26-4e7c-a258-69740c7dd795,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-11 20:45:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-11 20:45:00,2023-12-11 20:45:00
cfa97553-5428-40ad-a98c-412d523e4f20,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 05:36:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-12 05:36:00,2023-12-12 05:36:00
05f8a51d-e12c-436b-bf8c-ed14270739de,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 09:01:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-12 09:01:00,2023-12-12 09:01:00
800570c2-f5a4-4ed5-80ad-69ad3ce6e912,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 11:32:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-12 11:32:00,2023-12-12 11:32:00
8900e204-72eb-4342-9ae9-2e6a9df58375,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 14:02:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-12 14:02:00,2023-12-12 14:02:00
fdaa1f80-edd0-4f64-9d5d-c0a2c8aa62ce,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 16:34:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-12 16:34:00,2023-12-12 16:34:00
42d1c0ec-813c-4ab9-ad15-235abfe5ec17,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 19:05:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-12 19:05:00,2023-12-12 19:05:00
48af1854-d18c-4013-8914-aac4d94bf8e9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-12 21:09:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-12 21:09:00,2023-12-12 21:09:00
d83f3a7f-8a6b-4354-92e9-1c3bb7e2ecb5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-13 06:15:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-13 06:15:00,2023-12-13 06:15:00
f6f93bc4-efbb-4ce9-8279-ba87b0439591,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-13 09:20:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-13 09:20:00,2023-12-13 09:20:00
558809c3-1a09-46c5-ad9a-98bcb97e6960,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-13 14:00:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-13 14:00:00,2023-12-13 14:00:00
2ae36c48-d1ef-4356-8b00-e491c9665096,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-13 14:44:00,false,NONE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-13 14:44:00,2023-12-13 14:44:00
eee646a4-cefd-41ef-ba47-d04413323276,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-13 17:14:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-13 17:14:00,2023-12-13 17:14:00
8eec172f-e599-47dc-b17a-8ca127987971,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-13 19:44:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-13 19:44:00,2023-12-13 19:44:00
9be8855e-d083-4398-928d-768a5788ac45,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 06:14:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-14 06:14:00,2023-12-14 06:14:00
601f5d20-8a00-4720-939a-af5bf34f9824,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 09:43:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-14 09:43:00,2023-12-14 09:43:00
0ccc4fab-31ae-47bb-9488-f7f9057f299f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 12:49:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-14 12:49:00,2023-12-14 12:49:00
0876a573-afa0-429f-8b43-46e7fc293174,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 16:25:00,false,NONE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-14 16:25:00,2023-12-14 16:25:00
2f810573-75a7-49c8-a886-baee8424a09d,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 18:12:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-14 18:12:00,2023-12-14 18:12:00
ee76657a-340b-4266-bb13-5accbcac5a79,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 19:33:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-14 19:33:00,2023-12-14 19:33:00
36189c9e-9566-47b5-bf05-c1bdb3c7bbcf,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-14 21:20:00,false,NONE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-14 21:20:00,2023-12-14 21:20:00
a7a9dc6b-7fe7-47bb-b0c7-ed67a5ed419a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-15 05:53:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-15 05:53:00,2023-12-15 05:53:00
e750377f-9cb7-4c3e-a715-a1be50e3fed5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-15 09:19:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-15 09:19:00,2023-12-15 09:19:00
1a9f3294-fabf-4550-8ecd-9c6b66097a35,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-15 12:09:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-15 12:09:00,2023-12-15 12:09:00
be12f9e0-1789-415f-87da-455007d4a550,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-15 14:30:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-15 14:30:00,2023-12-15 14:30:00
e6015274-4b70-482d-b032-4119f7def3b6,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-15 17:12:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-15 17:12:00,2023-12-15 17:12:00
ac7fd1c9-49d8-49d2-a595-b0b9c3e41376,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-15 19:47:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-15 19:47:00,2023-12-15 19:47:00
5508ba57-ac0d-4d72-9093-4a3a5fed47fc,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 04:50:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-16 04:50:00,2023-12-16 04:50:00
788728cf-c235-4d28-9e6e-c5859dd33c6c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 08:15:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-16 08:15:00,2023-12-16 08:15:00
a739ded4-8137-4005-9478-1301b5f301e4,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 11:22:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-16 11:22:00,2023-12-16 11:22:00
6a609d39-33d0-48b4-a3a8-c6020827f98e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 14:00:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-16 14:00:00,2023-12-16 14:00:00
f537c243-3d6b-4c9b-b4be-12898963a9e1,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 15:52:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-16 15:52:00,2023-12-16 15:52:00
eee69ee5-f11a-4862-9c4f-33eb36f27972,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 19:11:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-16 19:11:00,2023-12-16 19:11:00
9fd427c6-1f2e-4fcc-9ec4-9843027830d5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-16 22:00:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-16 22:00:00,2023-12-16 22:00:00
123014f6-e7dd-46c9-ac52-21896bde0099,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 05:54:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 05:54:00,2023-12-17 05:54:00
02ae142e-487e-4289-836a-f18506716472,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 09:56:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 09:56:00,2023-12-17 09:56:00
ab6e6c6e-c16a-4967-ad27-52eb72f7fcc5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 13:00:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 13:00:00,2023-12-17 13:00:00
2d63a10c-b8a9-4e7d-bea9-ca0c558f915f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 14:00:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 14:00:00,2023-12-17 14:00:00
e627e135-077c-4144-be24-f2d11e38cca9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 16:07:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 16:07:00,2023-12-17 16:07:00
f5eea812-70f0-42bb-948f-2f0a2d1ab2ee,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 18:50:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 18:50:00,2023-12-17 18:50:00
88d9bf41-4db2-4883-a8b7-03ef740dbcb2,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-17 20:56:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-17 20:56:00,2023-12-17 20:56:00
c452c71a-caf9-447d-a71e-32b9c6861f8c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 06:18:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-18 06:18:00,2023-12-18 06:18:00
d2131c6f-3384-4006-8dd8-0f1f352a8d9e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 09:44:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-18 09:44:00,2023-12-18 09:44:00
bd45f7d0-4766-4bd1-807c-54c01fe9e3bf,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 11:31:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-18 11:31:00,2023-12-18 11:31:00
03c12f40-5c48-4a46-a542-5cc9d7f22ea7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 14:00:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-18 14:00:00,2023-12-18 14:00:00
8a5efec0-6242-481b-aa1d-86f2b82fc633,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 16:20:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-18 16:20:00,2023-12-18 16:20:00
20f437c1-8979-448e-bfab-eab4adb74210,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 18:52:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-18 18:52:00,2023-12-18 18:52:00
b39e16de-14af-4a94-8e58-bea27d5830e7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-18 20:30:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-18 20:30:00,2023-12-18 20:30:00
9bcb4f36-759c-44f3-af64-bedb82172874,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-19 05:25:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-19 05:25:00,2023-12-19 05:25:00
3d68086e-e2e9-4fa6-9f08-8480bd6632ce,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-19 10:13:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-19 10:13:00,2023-12-19 10:13:00
382debc6-ee4f-4c8b-a3e7-6d2837b28a5c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-19 12:33:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-19 12:33:00,2023-12-19 12:33:00
0d5d9a95-7e41-4a59-8658-1a2b5920f99b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-19 15:35:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-19 15:35:00,2023-12-19 15:35:00
fb0da397-7d18-4fea-821a-75bad466332f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-19 19:27:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-19 19:27:00,2023-12-19 19:27:00
8ccfbe16-9b5e-4872-9d6b-3e3bc87a364f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-20 07:14:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-20 07:14:00,2023-12-20 07:14:00
e5abdda3-b418-4565-b5a9-96baacce0d3e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-20 10:15:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-20 10:15:00,2023-12-20 10:15:00
5b07bb29-c8ab-46d1-a586-4676d55519f0,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-20 13:47:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-20 13:47:00,2023-12-20 13:47:00
0cc2966e-295a-4ac0-9682-e75865f88e6f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-20 16:09:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-20 16:09:00,2023-12-20 16:09:00
ceb9b0f1-2f43-4521-9d57-29c6ebb2a40f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-20 19:58:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-20 19:58:00,2023-12-20 19:58:00
74d197d5-893e-46da-8a5a-89d0d5a8b6f5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 06:43:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-21 06:43:00,2023-12-21 06:43:00
5e0c0f2e-c422-4541-b056-b01a0c29dcec,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 09:44:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-21 09:44:00,2023-12-21 09:44:00
b19daef7-15e5-4951-9b06-7a70b9d380b5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 12:10:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-21 12:10:00,2023-12-21 12:10:00
79dc72fa-3567-4379-a345-86968f17a6ba,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 14:16:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-21 14:16:00,2023-12-21 14:16:00
468d99e9-bc1f-47d4-b84e-63cec39f7e36,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 17:35:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-21 17:35:00,2023-12-21 17:35:00
5250058d-b4c8-4dab-a420-0261ba9e36a5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 19:45:00,true,MODERATE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-21 19:45:00,2023-12-21 19:45:00
6278aeb8-8c18-44ab-89cd-3899688c5b92,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 20:30:00,false,NONE,true,SOFT,YELLOW,DISPOSABLE,,2023-12-21 20:30:00,2023-12-21 20:30:00
22719fbf-71dc-4325-916d-a98411e3f6b9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-21 21:49:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-21 21:49:00,2023-12-21 21:49:00
6590d687-40d8-4297-b69a-161be02c2c79,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-22 05:37:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-22 05:37:00,2023-12-22 05:37:00
07ded3a3-6b59-4135-afbf-41366341f621,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-22 09:05:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-22 09:05:00,2023-12-22 09:05:00
401e85d8-ece0-4d75-97d3-0f7d05b8fa00,0d7f2503-cecb-4251-b96b-0c3f423a804f,2023-12-22 11:51:00,true,MODERATE,false,,,DISPOSABLE,,2023-12-22 11:51:00,2023-12-22 11:51:00
