id,baby_id,start_time,end_time,sleep_type,location,sleep_quality,sleep_environment,wake_reason,notes,created_at,updated_at
ea76e0ee-1d22-4bb7-96b1-0f5eb9268d82,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 21:15:00,2024-01-10 06:32:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-09 21:15:00,2024-01-09 21:15:00
261d38bf-24ba-4850-9486-bbe11804796a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 06:51:00,2024-01-10 08:32:00,NAP,CRIB,,,NATURAL,,2024-01-10 06:51:00,2024-01-10 06:51:00
c2bb4323-0697-4869-b781-dc763a920e5d,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 09:49:00,2024-01-10 12:30:00,NAP,CRIB,,,NATURAL,,2024-01-10 09:49:00,2024-01-10 09:49:00
311a048e-5c93-4be7-8593-82aa2c2d1f0b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 14:18:00,2024-01-10 15:35:00,NAP,CRIB,,,NATURAL,,2024-01-10 14:18:00,2024-01-10 14:18:00
66d819c2-5b77-4e19-8661-1416e5f61c5e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 17:15:00,2024-01-10 18:05:00,NAP,CRIB,,,NATURAL,,2024-01-10 17:15:00,2024-01-10 17:15:00
e7b10d0c-932d-483c-89c2-078e35574b65,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 21:14:00,2024-01-11 06:00:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-10 21:14:00,2024-01-10 21:14:00
002dfceb-81b8-413d-ac93-ab630ef2a8f6,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 06:12:00,2024-01-11 08:12:00,NAP,CRIB,,,NATURAL,,2024-01-11 06:12:00,2024-01-11 06:12:00
d7f33652-3d08-4628-8f82-f38a5560b822,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 10:00:00,2024-01-11 10:23:00,NAP,CRIB,,,NATURAL,,2024-01-11 10:00:00,2024-01-11 10:00:00
be17e734-86f5-4d52-9af5-f8eed0206524,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 11:00:00,2024-01-11 13:40:00,NAP,CRIB,,,NATURAL,,2024-01-11 11:00:00,2024-01-11 11:00:00
4ffbdacf-ad4f-45a3-9aaa-7dd1fd5e5f46,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 15:22:00,2024-01-11 16:19:00,NAP,CRIB,,,NATURAL,,2024-01-11 15:22:00,2024-01-11 15:22:00
3b53fa34-7096-45dc-a772-4d9d1fabd168,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 18:18:00,2024-01-11 19:12:00,NAP,CRIB,,,NATURAL,,2024-01-11 18:18:00,2024-01-11 18:18:00
1ed78f79-6af0-4e98-8d5a-ea5f3e3e66e2,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 20:47:00,2024-01-12 06:30:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-11 20:47:00,2024-01-11 20:47:00
972f8716-0384-41ff-a840-4f7d4a53c2f2,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 06:41:00,2024-01-12 08:44:00,NAP,CRIB,,,NATURAL,,2024-01-12 06:41:00,2024-01-12 06:41:00
78850809-3544-4ca2-9d81-8ef9a6a68a98,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 10:45:00,2024-01-12 11:15:00,NAP,CRIB,,,NATURAL,,2024-01-12 10:45:00,2024-01-12 10:45:00
c699346f-fcc5-4cea-9c43-cf9cadcbcf1d,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 13:06:00,2024-01-12 14:21:00,NAP,CRIB,,,NATURAL,,2024-01-12 13:06:00,2024-01-12 13:06:00
76d916f6-26d6-4e62-853e-b9010d32fdf3,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 15:55:00,2024-01-12 16:38:00,NAP,CRIB,,,NATURAL,,2024-01-12 15:55:00,2024-01-12 15:55:00
dbce979a-8e6e-4f0d-b499-72a233363a54,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 18:11:00,2024-01-12 18:55:00,NAP,CRIB,,,NATURAL,,2024-01-12 18:11:00,2024-01-12 18:11:00
2bb22cb9-4a71-4d89-ba4f-e76d70d28939,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 20:38:00,2024-01-13 06:29:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-12 20:38:00,2024-01-12 20:38:00
70c1082d-a361-4043-aaa4-24058e1ee6a3,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 07:15:00,2024-01-13 09:00:00,NAP,CRIB,,,NATURAL,,2024-01-13 07:15:00,2024-01-13 07:15:00
b0f79e9d-40ea-4470-91c2-2442a30698f0,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 10:59:00,2024-01-13 11:35:00,NAP,CRIB,,,NATURAL,,2024-01-13 10:59:00,2024-01-13 10:59:00
f9441833-1776-4914-b318-a6f6b1bc9bf4,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 13:40:00,2024-01-13 14:19:00,NAP,CRIB,,,NATURAL,,2024-01-13 13:40:00,2024-01-13 13:40:00
d2cd2c4b-fd97-4e9d-a9f5-a2a2968c3306,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 15:54:00,2024-01-13 17:32:00,NAP,CRIB,,,NATURAL,,2024-01-13 15:54:00,2024-01-13 15:54:00
858cf5a7-05cb-4e59-925c-b11011011a75,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 19:46:00,2024-01-13 20:05:00,NAP,CRIB,,,NATURAL,,2024-01-13 19:46:00,2024-01-13 19:46:00
7599d2c5-ecaf-4a09-bee1-6372c8714420,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 22:00:00,2024-01-14 07:47:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-13 22:00:00,2024-01-13 22:00:00
36735bd7-1cb9-4d42-983a-b46cd117c693,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 08:21:00,2024-01-14 10:45:00,NAP,CRIB,,,NATURAL,,2024-01-14 08:21:00,2024-01-14 08:21:00
79d6038b-1f7c-40dc-8379-fa973572b12a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 12:25:00,2024-01-14 12:58:00,NAP,CRIB,,,NATURAL,,2024-01-14 12:25:00,2024-01-14 12:25:00
dcc89f52-a225-42ae-9548-7f614d3d5728,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 13:40:00,2024-01-14 15:18:00,NAP,CRIB,,,NATURAL,,2024-01-14 13:40:00,2024-01-14 13:40:00
e5cc66d9-e523-47a6-8aea-a350939fd2ad,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 16:55:00,2024-01-14 19:15:00,NAP,CRIB,,,NATURAL,,2024-01-14 16:55:00,2024-01-14 16:55:00
e6491f11-9fae-4c07-8d4e-9f547941e5f7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-14 21:06:00,2024-01-15 06:00:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-14 21:06:00,2024-01-14 21:06:00
3c465789-1914-46da-9b77-994ad3f88ac9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 06:16:00,2024-01-15 09:03:00,NAP,CRIB,,,NATURAL,,2024-01-15 06:16:00,2024-01-15 06:16:00
59cd0845-964d-4c9a-8eb1-256600676a43,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 10:57:00,2024-01-15 11:37:00,NAP,CRIB,,,NATURAL,,2024-01-15 10:57:00,2024-01-15 10:57:00
43ed2804-2967-4453-8e3a-93ec705034fd,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 14:05:00,2024-01-15 14:42:00,NAP,CRIB,,,NATURAL,,2024-01-15 14:05:00,2024-01-15 14:05:00
8d760eb3-be1f-441a-8ec9-d6e461b384d1,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 16:48:00,2024-01-15 17:40:00,NAP,CRIB,,,NATURAL,,2024-01-15 16:48:00,2024-01-15 16:48:00
be9778ff-d70d-49f2-88d8-51c1430c39f6,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 19:51:00,2024-01-15 20:21:00,NAP,CRIB,,,NATURAL,,2024-01-15 19:51:00,2024-01-15 19:51:00
76bed701-cb3f-4b62-9f25-53db29df0d78,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-15 21:10:00,2024-01-16 06:20:00,NIGHTTIME,CRIB,,,NATURAL,,2024-01-15 21:10:00,2024-01-15 21:10:00
