id,baby_id,start_time,end_time,feeding_type,breast_started,left_breast_duration,right_breast_duration,volume_offered_ml,volume_consumed_ml,formula_type,food_items,appetite,notes,created_at,updated_at
88dbde26-39d8-459a-b4bd-dbef13bb0c34,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-05 09:16:00,2024-01-05 09:30:00,BREAST,RIGHT,4,10,,,,,,,2024-01-05 09:16:00,2024-01-05 09:16:00
61083442-c24b-457f-807f-19196825a2ff,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-05 12:49:00,2024-01-05 13:02:00,BREAST,RIGHT,6,7,,,,,,,2024-01-05 12:49:00,2024-01-05 12:49:00
737d72ca-cddc-402f-b1d3-3af90ec00331,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-05 14:51:00,2024-01-05 15:01:00,BREAST,LEFT,5,5,,,,,,,2024-01-05 14:51:00,2024-01-05 14:51:00
927f7661-d62c-4969-8f89-7c2b72318b0f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-05 16:30:00,2024-01-05 16:49:00,BREAST,RIGHT,7,12,,,,,,,2024-01-05 16:30:00,2024-01-05 16:30:00
65837d79-fdd6-47d4-ab68-a2c4b418cccf,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-05 19:25:00,2024-01-05 19:37:00,BREAST,RIGHT,4,8,,,,,,,2024-01-05 19:25:00,2024-01-05 19:25:00
22b5d0a7-36de-481c-9bcc-455d177e93e7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-05 20:36:00,2024-01-05 20:49:00,BREAST,LEFT,5,8,,,,,,,2024-01-05 20:36:00,2024-01-05 20:36:00
a0f771fb-ebce-4c90-908e-1e3bf8c92e31,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 07:04:00,2024-01-06 07:14:00,BREAST,RIGHT,5,5,,,,,,,2024-01-06 07:04:00,2024-01-06 07:04:00
6bca8bbc-121b-4cdf-b841-8fde9573f139,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 09:46:00,2024-01-06 09:56:00,BREAST,LEFT,5,5,,,,,,,2024-01-06 09:46:00,2024-01-06 09:46:00
e61adb68-526e-477b-855c-5bfbd1590c8e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 12:10:00,2024-01-06 12:22:00,BREAST,RIGHT,6,6,,,,,,,2024-01-06 12:10:00,2024-01-06 12:10:00
3796e3ad-f3c3-48e3-ae1a-72e702c3653a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 13:34:00,2024-01-06 13:45:00,BREAST,RIGHT,6,5,,,,,,,2024-01-06 13:34:00,2024-01-06 13:34:00
a6414353-128e-4ad0-bc74-3c7c57e995d6,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 15:27:00,2024-01-06 15:36:00,BREAST,LEFT,4,5,,,,,,,2024-01-06 15:27:00,2024-01-06 15:27:00
c7bdf8a3-ebbc-43ef-808a-6e87a5b5480f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 17:26:00,2024-01-06 17:39:00,BREAST,RIGHT,5,8,,,,,,,2024-01-06 17:26:00,2024-01-06 17:26:00
098fcdd2-c369-4134-959d-b2dbed69453c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 19:22:00,2024-01-06 19:31:00,BREAST,LEFT,5,4,,,,,,,2024-01-06 19:22:00,2024-01-06 19:22:00
55396ff7-04a1-456d-8f9b-d2cc387be6b1,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-06 21:23:00,2024-01-06 21:43:00,BREAST,RIGHT,10,10,,,,,,,2024-01-06 21:23:00,2024-01-06 21:23:00
d367a6d6-6b71-4af2-802c-3ff04aa4864e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 06:02:00,2024-01-07 06:10:00,BREAST,RIGHT,4,4,,,,,,,2024-01-07 06:02:00,2024-01-07 06:02:00
a9b728c0-b480-449a-9625-9e83c3a518e0,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 09:16:00,2024-01-07 09:28:00,BREAST,RIGHT,6,6,,,,,,,2024-01-07 09:16:00,2024-01-07 09:16:00
5ea41ff8-d826-40a3-89f9-e37f9058df05,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 11:25:00,2024-01-07 11:37:00,BREAST,,6,6,,,,,,,2024-01-07 11:25:00,2024-01-07 11:25:00
21a6b835-2fb2-4f45-b5d3-6d7d8ae33484,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 13:48:00,2024-01-07 14:04:00,BREAST,RIGHT,11,5,,,,,,,2024-01-07 13:48:00,2024-01-07 13:48:00
7c4615d1-4dff-4a2a-9346-21e2e066cf19,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 16:30:00,2024-01-07 16:40:00,BREAST,LEFT,5,5,,,,,,,2024-01-07 16:30:00,2024-01-07 16:30:00
4a45cf0a-6251-4d67-a093-633daa37318a,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 18:49:00,2024-01-07 19:05:00,BREAST,RIGHT,11,5,,,,,,,2024-01-07 18:49:00,2024-01-07 18:49:00
0f4a078b-bda3-4062-a528-a86782bad8cb,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-07 20:13:00,2024-01-07 20:23:00,BREAST,RIGHT,5,5,,,,,,"sc,",2024-01-07 20:13:00,2024-01-07 20:13:00
8dea1261-3ab0-46ec-824b-2005e5833363,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 06:08:00,2024-01-08 06:14:00,BREAST,RIGHT,1,5,,,,,,,2024-01-08 06:08:00,2024-01-08 06:08:00
b97db672-3f99-4822-82bf-be61a4733711,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 09:15:00,2024-01-08 09:31:00,BREAST,LEFT,8,8,,,,,,,2024-01-08 09:15:00,2024-01-08 09:15:00
034c8dd8-f615-4a0f-8bf6-1bc76c875107,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 11:46:00,2024-01-08 11:55:00,BREAST,RIGHT,3,6,,,,,,,2024-01-08 11:46:00,2024-01-08 11:46:00
bc8efee3-eb91-4326-a2ce-6a2beb339679,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 13:29:00,2024-01-08 13:39:00,BREAST,LEFT,7,3,,,,,,,2024-01-08 13:29:00,2024-01-08 13:29:00
f4a106ad-9312-467a-9817-ac8da4b94e3b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 15:53:00,2024-01-08 16:06:00,BREAST,RIGHT,6,7,,,,,,,2024-01-08 15:53:00,2024-01-08 15:53:00
7059c945-62ce-4b06-86fb-2824e1a7e3d8,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 16:49:00,2024-01-08 17:02:00,BREAST,RIGHT,6,7,,,,,,,2024-01-08 16:49:00,2024-01-08 16:49:00
67e0acaf-f081-4aa4-8419-63c97f40ad19,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 19:31:00,2024-01-08 19:43:00,BREAST,LEFT,11,1,,,,,,,2024-01-08 19:31:00,2024-01-08 19:31:00
3dd4e772-f728-4a16-bc44-aa586a4ab99f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-08 20:47:00,2024-01-08 20:59:00,BREAST,,6,6,,,,,,,2024-01-08 20:47:00,2024-01-08 20:47:00
e0a84e5e-e484-444a-92aa-586bc6ce49d5,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 07:12:00,2024-01-09 07:17:00,BREAST,RIGHT,3,2,,,,,,,2024-01-09 07:12:00,2024-01-09 07:12:00
cbc5b8dc-9bbb-4ade-8fdf-45451a15ca8b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 09:14:00,2024-01-09 09:37:00,BREAST,RIGHT,17,6,,,,,,,2024-01-09 09:14:00,2024-01-09 09:14:00
6d33034e-215a-44e1-912e-6f5404fd3d91,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 11:10:00,2024-01-09 11:19:00,BREAST,RIGHT,5,4,,,,,,,2024-01-09 11:10:00,2024-01-09 11:10:00
7e75d8c5-62a4-4cbe-b6dd-5f955ad7830b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 13:35:00,2024-01-09 13:41:00,BREAST,LEFT,4,2,,,,,,,2024-01-09 13:35:00,2024-01-09 13:35:00
f357fb5d-05ce-468f-b862-357625560138,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 15:59:00,2024-01-09 16:10:00,BREAST,LEFT,6,5,,,,,,,2024-01-09 15:59:00,2024-01-09 15:59:00
a607a640-4893-4f32-996d-8f80067b5a47,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 18:00:00,2024-01-09 18:08:00,BREAST,RIGHT,4,4,,,,,,,2024-01-09 18:00:00,2024-01-09 18:00:00
9d437d6d-5594-4a37-a670-48e07ee87210,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-09 19:59:00,2024-01-09 20:06:00,BREAST,RIGHT,4,3,,,,,,,2024-01-09 19:59:00,2024-01-09 19:59:00
c3f80223-18a8-483f-aebb-0f2c346245fa,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 06:36:00,2024-01-10 06:41:00,BREAST,RIGHT,2,3,,,,,,,2024-01-10 06:36:00,2024-01-10 06:36:00
2aa073c3-04d9-4582-87f7-33bfc75abff1,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 08:37:00,2024-01-10 08:41:00,BREAST,RIGHT,1,3,,,,,,,2024-01-10 08:37:00,2024-01-10 08:37:00
d34318d4-dba8-4c9e-a449-857fb08b38b7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 09:35:00,2024-01-10 09:41:00,BREAST,LEFT,4,2,,,,,,,2024-01-10 09:35:00,2024-01-10 09:35:00
158fee32-58da-4f5b-ad47-6c8a61f1a89b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 12:35:00,2024-01-10 12:43:00,BREAST,RIGHT,4,4,,,,,,,2024-01-10 12:35:00,2024-01-10 12:35:00
4983dbe7-4ccf-46a2-bcd5-c52137eb8a2b,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 15:39:00,2024-01-10 15:50:00,BREAST,LEFT,6,5,,,,,,,2024-01-10 15:39:00,2024-01-10 15:39:00
b4f77a44-7d4f-4ad3-a703-3c9e311263bb,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 18:09:00,2024-01-10 18:17:00,BREAST,RIGHT,4,4,,,,,,,2024-01-10 18:09:00,2024-01-10 18:09:00
657a2fa3-a967-4f1f-a717-1159cd6840f9,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-10 21:00:00,2024-01-10 21:06:00,BREAST,,3,3,,,,,,,2024-01-10 21:00:00,2024-01-10 21:00:00
70fb56ed-a7bb-446d-8e67-11a8f6b5da74,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 06:03:00,2024-01-11 06:07:00,BREAST,LEFT,2,2,,,,,,,2024-01-11 06:03:00,2024-01-11 06:03:00
57562f58-39b7-4545-9f66-ac0e25193046,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 08:24:00,2024-01-11 08:33:00,BREAST,RIGHT,2,7,,,,,,,2024-01-11 08:24:00,2024-01-11 08:24:00
625e26cd-ccec-489d-bc83-347352fe6053,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 10:30:00,2024-01-11 10:39:00,BREAST,RIGHT,3,6,,,,,,,2024-01-11 10:30:00,2024-01-11 10:30:00
3db0ce00-97d8-4f3d-863e-ffc0de8152db,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 13:45:00,2024-01-11 13:54:00,BREAST,LEFT,4,5,,,,,,,2024-01-11 13:45:00,2024-01-11 13:45:00
afa00912-30ff-4965-9780-563f90f0a250,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 16:21:00,2024-01-11 16:32:00,BREAST,RIGHT,4,7,,,,,,,2024-01-11 16:21:00,2024-01-11 16:21:00
0f44892d-5f81-4389-bdab-a7a028a86e07,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 19:21:00,2024-01-11 19:31:00,BREAST,RIGHT,5,5,,,,,,,2024-01-11 19:21:00,2024-01-11 19:21:00
58b863b7-6f94-4836-874e-04e213535eb7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-11 20:18:00,2024-01-11 20:24:00,BREAST,LEFT,2,4,,,,,,,2024-01-11 20:18:00,2024-01-11 20:18:00
cf4604a0-e090-4f38-a6ee-af19ceda0613,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 06:33:00,2024-01-12 06:39:00,BREAST,RIGHT,2,4,,,,,,,2024-01-12 06:33:00,2024-01-12 06:33:00
f8e3c5a1-b0d1-400e-9eb0-3ba8453c5a5c,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 08:58:00,2024-01-12 09:05:00,BREAST,LEFT,5,2,,,,,,,2024-01-12 08:58:00,2024-01-12 08:58:00
80ac2cf7-d046-453a-90d9-814310ee088f,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 12:04:00,2024-01-12 12:12:00,BREAST,RIGHT,3,5,,,,,,,2024-01-12 12:04:00,2024-01-12 12:04:00
95645284-2427-4264-8134-e616b7c70edc,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 14:21:00,2024-01-12 14:45:00,BREAST,RIGHT,12,12,,,,,,,2024-01-12 14:21:00,2024-01-12 14:21:00
7f48c84f-7b1e-4b51-9d5d-ad2bcd54d3c7,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 16:44:00,2024-01-12 16:53:00,BREAST,LEFT,3,6,,,,,,,2024-01-12 16:44:00,2024-01-12 16:44:00
c2d451dd-f690-42ab-bc9a-7d14a20e2bf3,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 19:02:00,2024-01-12 19:10:00,BREAST,RIGHT,1,7,,,,,,,2024-01-12 19:02:00,2024-01-12 19:02:00
1f1a9ac5-9705-496d-83b2-11fb5647de00,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-12 20:15:00,2024-01-12 20:21:00,BREAST,,3,3,,,,,,,2024-01-12 20:15:00,2024-01-12 20:15:00
28500c5b-6749-4229-b5c6-779cab1b643e,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 06:32:00,2024-01-13 06:36:00,BREAST,LEFT,2,2,,,,,,,2024-01-13 06:32:00,2024-01-13 06:32:00
2d919899-1755-47e6-9fa8-54840fb506b3,0d7f2503-cecb-4251-b96b-0c3f423a804f,2024-01-13 09:02:00,2024-01-13 09:08:00,BREAST,,3,3,,,,,,,2024-01-13 09:02:00,2024-01-13 09:02:00
